"","x","y","shooting_org","made","play_id","play_description","classes","show_highlight"
"1","82.0","51.0","559","false","2620721540","'1st 19:31:00 : missed by Zach Edey(Purdue) 0-0'","'period_1 player_771508275 team_559'","false"
"2","27.0","81.0","164","false","2620721543","'1st 19:15:00 : missed by Alex Karaban(UConn) 0-0'","'period_1 player_771508264 team_164'","false"
"3","85.0","54.0","559","true","2620721545","'1st 19:02:00 : made by Trey Kaufman-Renn(Purdue) 2-0'","'period_1 player_771508280 team_559'","false"
"4","23.0","13.0","164","true","2620721546","'1st 18:40:00 : made by Cam Spencer(UConn) 2-3'","'period_1 player_771508259 team_164'","false"
"5","91.0","60.0","559","true","2620721548","'1st 18:12:00 : made by Lance Jones(Purdue) 4-3'","'period_1 player_771508273 team_559'","false"
"6","91.0","43.0","559","false","2620721556","'1st 17:37:00 : missed by Trey Kaufman-Renn(Purdue) 5-5'","'period_1 player_771508280 team_559'","false"
"7","11.0","40.0","164","true","2620721559","'1st 17:22:00 : made by Cam Spencer(UConn) 5-7'","'period_1 player_771508259 team_164'","false"
"8","87.0","55.0","559","true","2620721560","'1st 17:02:00 : made by Zach Edey(Purdue) 7-7'","'period_1 player_771508275 team_559'","false"
"9","17.0","56.0","164","false","2620721562","'1st 16:48:00 : missed by Tristen Newton(UConn) 7-7'","'period_1 player_771508260 team_164'","false"
"10","7.0","45.0","164","true","2620721565","'1st 16:25:00 : made by Donovan Clingan(UConn) 7-9'","'period_1 player_771508265 team_164'","false"
"11","88.0","43.0","559","true","2620721567","'1st 16:05:00 : made by Zach Edey(Purdue) 9-9'","'period_1 player_771508275 team_559'","false"
"12","5.0","19.0","164","true","2620721568","'1st 15:36:00 : made by Cam Spencer(UConn) 9-11'","'period_1 player_771508259 team_164'","false"
"13","86.0","49.0","559","false","2620721569","'1st 15:16:00 : missed by Zach Edey(Purdue) 9-11'","'period_1 player_771508275 team_559'","false"
"14","7.0","42.0","164","false","2620721571","'1st 15:10:00 : missed by Stephon Castle(UConn) 9-11'","'period_1 player_771508269 team_164'","false"
"15","91.0","50.0","559","true","2620721579","'1st 14:51:00 : made by Zach Edey(Purdue) 11-11'","'period_1 player_771508275 team_559'","false"
"16","3.0","95.0","164","true","2620721581","'1st 14:23:00 : made by Tristen Newton(UConn) 11-14'","'period_1 player_771508260 team_164'","false"
"17","94.0","60.0","559","false","2620721583","'1st 13:59:00 : missed by Braden Smith(Purdue) 11-14'","'period_1 player_771508282 team_559'","false"
"18","14.0","48.0","164","false","2620721589","'1st 13:41:00 : missed by Cam Spencer(UConn) 11-14'","'period_1 player_771508259 team_164'","false"
"19","6.0","44.0","164","false","2620721592","'1st 13:33:00 : missed by Tristen Newton(UConn) 11-14'","'period_1 player_771508260 team_164'","false"
"20","30.0","30.0","164","false","2620721595","'1st 13:29:00 : missed by Cam Spencer(UConn) 11-14'","'period_1 player_771508259 team_164'","false"
"21","83.0","50.0","559","true","2620721597","'1st 13:05:00 : made by Zach Edey(Purdue) 13-14'","'period_1 player_771508275 team_559'","false"
"22","11.0","40.0","164","true","2620721598","'1st 12:46:00 : made by Hassan Diarra(UConn) 13-16'","'period_1 player_771508262 team_164'","false"
"23","89.0","45.0","559","true","2620721599","'1st 12:19:00 : made by Zach Edey(Purdue) 15-16'","'period_1 player_771508275 team_559'","false"
"24","7.0","45.0","164","true","2620721607","'1st 11:59:00 : made by Hassan Diarra(UConn) 16-18'","'period_1 player_771508262 team_164'","false"
"25","71.0","27.0","559","false","2620721609","'1st 11:33:00 : missed by Myles Colvin(Purdue) 16-18'","'period_1 player_771508284 team_559'","false"
"26","91.0","66.0","559","true","2620721620","'1st 11:09:00 : made by Braden Smith(Purdue) 18-18'","'period_1 player_771508282 team_559'","false"
"27","15.0","34.0","164","false","2620721621","'1st 10:47:00 : missed by Tristen Newton(UConn) 18-18'","'period_1 player_771508260 team_164'","false"
"28","82.0","76.0","559","false","2620721623","'1st 10:38:00 : missed by Braden Smith(Purdue) 18-18'","'period_1 player_771508282 team_559'","false"
"29","8.0","38.0","164","false","2620721625","'1st 10:23:00 : missed by Hassan Diarra(UConn) 18-18'","'period_1 player_771508262 team_164'","false"
"30","90.0","54.0","559","false","2620721627","'1st 10:18:00 : missed by Fletcher Loyer(Purdue) 18-18'","'period_1 player_771508281 team_559'","false"
"31","3.0","5.0","164","true","2620721630","'1st 10:10:00 : made by Hassan Diarra(UConn) 18-21'","'period_1 player_771508262 team_164'","false"
"32","7.0","58.0","164","false","2620721645","'1st 09:24:00 : missed by Donovan Clingan(UConn) 19-21'","'period_1 player_771508265 team_164'","false"
"33","91.0","37.0","559","true","2620721647","'1st 09:13:00 : made by Braden Smith(Purdue) 21-21'","'period_1 player_771508282 team_559'","false"
"34","30.0","69.0","164","false","2620721648","'1st 08:45:00 : missed by Stephon Castle(UConn) 21-21'","'period_1 player_771508269 team_164'","false"
"35","87.0","59.0","559","true","2620721661","'1st 08:07:00 : made by Zach Edey(Purdue) 23-21'","'period_1 player_771508275 team_559'","false"
"36","5.0","95.0","164","false","2620721663","'1st 07:34:00 : missed by Stephon Castle(UConn) 23-21'","'period_1 player_771508269 team_164'","false"
"37","78.0","59.0","559","false","2620721665","'1st 07:24:00 : missed by Braden Smith(Purdue) 23-21'","'period_1 player_771508282 team_559'","false"
"38","7.0","37.0","164","true","2620721667","'1st 07:12:00 : made by Tristen Newton(UConn) 23-23'","'period_1 player_771508260 team_164'","false"
"39","9.0","45.0","164","true","2620721674","'1st 06:38:00 : made by Donovan Clingan(UConn) 23-25'","'period_1 player_771508265 team_164'","false"
"40","82.0","58.0","559","false","2620721679","'1st 06:24:00 : missed by Fletcher Loyer(Purdue) 23-26'","'period_1 player_771508281 team_559'","false"
"41","7.0","46.0","164","false","2620721685","'1st 06:11:00 : missed by Donovan Clingan(UConn) 23-26'","'period_1 player_771508265 team_164'","false"
"42","83.0","48.0","559","false","2620721688","'1st 05:57:00 : missed by Fletcher Loyer(Purdue) 23-26'","'period_1 player_771508281 team_559'","false"
"43","94.0","50.0","559","true","2620721690","'1st 05:47:00 : made by Zach Edey(Purdue) 25-26'","'period_1 player_771508275 team_559'","false"
"44","15.0","48.0","164","true","2620721693","'1st 05:22:00 : made by Donovan Clingan(UConn) 25-28'","'period_1 player_771508265 team_164'","false"
"45","88.0","53.0","559","false","2620721694","'1st 04:58:00 : missed by Zach Edey(Purdue) 25-28'","'period_1 player_771508275 team_559'","false"
"46","7.0","47.0","164","true","2620721696","'1st 04:43:00 : made by Tristen Newton(UConn) 25-30'","'period_1 player_771508260 team_164'","false"
"47","90.0","57.0","559","false","2620721698","'1st 04:20:00 : missed by Trey Kaufman-Renn(Purdue) 25-30'","'period_1 player_771508280 team_559'","false"
"48","85.0","48.0","559","false","2620721704","'1st 04:16:00 : missed by Zach Edey(Purdue) 25-30'","'period_1 player_771508275 team_559'","false"
"49","35.0","46.0","164","false","2620721706","'1st 04:09:00 : missed by Alex Karaban(UConn) 25-30'","'period_1 player_771508264 team_164'","false"
"50","17.0","43.0","164","true","2620721711","'1st 03:29:00 : made by Stephon Castle(UConn) 25-32'","'period_1 player_771508269 team_164'","false"
"51","77.0","43.0","559","true","2620721712","'1st 03:09:00 : made by Braden Smith(Purdue) 27-32'","'period_1 player_771508282 team_559'","false"
"52","75.0","84.0","559","true","2620721716","'1st 02:18:00 : made by Braden Smith(Purdue) 30-32'","'period_1 player_771508282 team_559'","false"
"53","15.0","42.0","164","true","2620721720","'1st 02:00:00 : made by Tristen Newton(UConn) 30-34'","'period_1 player_771508260 team_164'","false"
"54","91.0","57.0","559","false","2620721721","'1st 01:33:00 : missed by Zach Edey(Purdue) 30-34'","'period_1 player_771508275 team_559'","false"
"55","79.0","79.0","559","false","2620721725","'1st 01:30:00 : missed by Mason Gillis(Purdue) 30-34'","'period_1 player_771508274 team_559'","false"
"56","29.0","75.0","164","false","2620721729","'1st 01:06:00 : missed by Donovan Clingan(UConn) 30-34'","'period_1 player_771508265 team_164'","false"
"57","7.0","56.0","164","false","2620721731","'1st 00:49:70 : missed by Tristen Newton(UConn) 30-34'","'period_1 player_771508260 team_164'","false"
"58","6.0","50.0","164","true","2620721733","'1st 00:46:50 : made by Stephon Castle(UConn) 30-36'","'period_1 player_771508269 team_164'","false"
"59","12.0","53.0","164","false","2620721736","'1st 00:03:30 : missed by Cam Spencer(UConn) 30-36'","'period_1 player_771508259 team_164'","false"
"60","7.0","54.0","559","false","2620721746","'2nd 19:39:00 : missed by Zach Edey(Purdue) 30-36'","'period_2 player_771508275 team_559'","false"
"61","83.0","50.0","164","false","2620721748","'2nd 19:28:00 : missed by Cam Spencer(UConn) 30-36'","'period_2 player_771508259 team_164'","false"
"62","71.0","76.0","164","true","2620721750","'2nd 19:21:00 : made by Tristen Newton(UConn) 30-39'","'period_2 player_771508260 team_164'","false"
"63","7.0","50.0","559","false","2620721754","'2nd 18:45:00 : missed by Zach Edey(Purdue) 30-39'","'period_2 player_771508275 team_559'","false"
"64","67.0","34.0","164","false","2620721756","'2nd 18:37:00 : missed by Tristen Newton(UConn) 30-39'","'period_2 player_771508260 team_164'","false"
"65","10.0","51.0","559","true","2620721758","'2nd 18:25:00 : made by Trey Kaufman-Renn(Purdue) 32-39'","'period_2 player_771508280 team_559'","false"
"66","79.0","48.0","164","false","2620721760","'2nd 17:59:00 : missed by Stephon Castle(UConn) 32-39'","'period_2 player_771508269 team_164'","false"
"67","23.0","35.0","559","false","2620721762","'2nd 17:46:00 : missed by Braden Smith(Purdue) 32-39'","'period_2 player_771508282 team_559'","false"
"68","95.0","52.0","164","true","2620721764","'2nd 17:38:00 : made by Stephon Castle(UConn) 32-41'","'period_2 player_771508269 team_164'","false"
"69","95.0","5.0","164","false","2620721769","'2nd 17:05:00 : missed by Tristen Newton(UConn) 32-41'","'period_2 player_771508260 team_164'","false"
"70","15.0","51.0","559","false","2620721781","'2nd 16:40:00 : missed by Zach Edey(Purdue) 32-41'","'period_2 player_771508275 team_559'","false"
"71","6.0","50.0","559","true","2620721783","'2nd 16:34:00 : made by Camden Heide(Purdue) 34-41'","'period_2 player_771508283 team_559'","false"
"72","81.0","65.0","164","false","2620721784","'2nd 16:16:00 : missed by Cam Spencer(UConn) 34-41'","'period_2 player_771508259 team_164'","false"
"73","91.0","54.0","164","false","2620721786","'2nd 16:11:00 : missed by Stephon Castle(UConn) 34-41'","'period_2 player_771508269 team_164'","false"
"74","94.0","50.0","164","true","2620721788","'2nd 16:08:00 : made by Stephon Castle(UConn) 34-43'","'period_2 player_771508269 team_164'","false"
"75","71.0","30.0","164","false","2620721795","'2nd 15:32:00 : missed by Cam Spencer(UConn) 34-43'","'period_2 player_771508259 team_164'","false"
"76","92.0","51.0","164","true","2620721797","'2nd 15:23:00 : made by Samson Johnson(UConn) 34-45'","'period_2 player_771508263 team_164'","false"
"77","19.0","92.0","559","false","2620721799","'2nd 15:02:00 : missed by Mason Gillis(Purdue) 34-45'","'period_2 player_771508274 team_559'","false"
"78","95.0","47.0","164","true","2620721803","'2nd 14:40:00 : made by Samson Johnson(UConn) 34-47'","'period_2 player_771508263 team_164'","false"
"79","65.0","41.0","164","false","2620721811","'2nd 14:02:00 : missed by Alex Karaban(UConn) 36-47'","'period_2 player_771508264 team_164'","false"
"80","83.0","92.0","164","false","2620721813","'2nd 13:56:00 : missed by Cam Spencer(UConn) 36-47'","'period_2 player_771508259 team_164'","false"
"81","7.0","37.0","559","false","2620721822","'2nd 13:39:00 : missed by Braden Smith(Purdue) 36-47'","'period_2 player_771508282 team_559'","false"
"82","6.0","50.0","559","true","2620721824","'2nd 13:39:00 : made by Zach Edey(Purdue) 38-47'","'period_2 player_771508275 team_559'","false"
"83","91.0","52.0","164","true","2620721825","'2nd 13:11:00 : made by Cam Spencer(UConn) 38-49'","'period_2 player_771508259 team_164'","false"
"84","15.0","56.0","559","false","2620721830","'2nd 12:37:00 : missed by Zach Edey(Purdue) 38-49'","'period_2 player_771508275 team_559'","false"
"85","94.0","41.0","164","true","2620721836","'2nd 12:06:00 : made by Tristen Newton(UConn) 38-51'","'period_2 player_771508260 team_164'","false"
"86","15.0","6.0","559","false","2620721837","'2nd 11:42:00 : missed by Myles Colvin(Purdue) 38-51'","'period_2 player_771508284 team_559'","false"
"87","92.0","4.0","164","false","2620721839","'2nd 11:33:00 : missed by Alex Karaban(UConn) 38-51'","'period_2 player_771508264 team_164'","false"
"88","90.0","40.0","164","false","2620721853","'2nd 10:37:00 : missed by Stephon Castle(UConn) 38-51'","'period_2 player_771508269 team_164'","false"
"89","71.0","74.0","164","false","2620721855","'2nd 10:33:00 : missed by Hassan Diarra(UConn) 38-51'","'period_2 player_771508262 team_164'","false"
"90","83.0","8.0","164","true","2620721865","'2nd 09:53:00 : made by Alex Karaban(UConn) 40-54'","'period_2 player_771508264 team_164'","false"
"91","6.0","37.0","559","false","2620721867","'2nd 09:33:00 : missed by Fletcher Loyer(Purdue) 40-54'","'period_2 player_771508281 team_559'","false"
"92","91.0","52.0","164","true","2620721869","'2nd 09:27:00 : made by Hassan Diarra(UConn) 40-56'","'period_2 player_771508262 team_164'","false"
"93","11.0","44.0","559","true","2620721872","'2nd 09:13:00 : made by Zach Edey(Purdue) 42-56'","'period_2 player_771508275 team_559'","false"
"94","78.0","89.0","164","true","2620721874","'2nd 08:39:00 : made by Stephon Castle(UConn) 42-59'","'period_2 player_771508269 team_164'","false"
"95","26.0","40.0","559","false","2620721876","'2nd 08:21:00 : missed by Braden Smith(Purdue) 42-59'","'period_2 player_771508282 team_559'","false"
"96","95.0","6.0","164","false","2620721878","'2nd 08:04:00 : missed by Stephon Castle(UConn) 42-59'","'period_2 player_771508269 team_164'","false"
"97","91.0","55.0","164","false","2620721891","'2nd 07:43:00 : missed by Samson Johnson(UConn) 44-59'","'period_2 player_771508263 team_164'","false"
"98","7.0","51.0","559","true","2620721893","'2nd 07:31:00 : made by Zach Edey(Purdue) 46-59'","'period_2 player_771508275 team_559'","false"
"99","95.0","52.0","164","true","2620721895","'2nd 07:04:00 : made by Alex Karaban(UConn) 46-61'","'period_2 player_771508264 team_164'","false"
"100","69.0","34.0","164","false","2620721901","'2nd 06:20:00 : missed by Tristen Newton(UConn) 46-61'","'period_2 player_771508260 team_164'","false"
"101","89.0","45.0","164","true","2620721903","'2nd 06:00:00 : made by Stephon Castle(UConn) 46-63'","'period_2 player_771508269 team_164'","false"
"102","32.0","46.0","559","false","2620721905","'2nd 05:41:00 : missed by Fletcher Loyer(Purdue) 46-63'","'period_2 player_771508281 team_559'","false"
"103","81.0","51.0","164","true","2620721918","'2nd 05:12:00 : made by Cam Spencer(UConn) 47-65'","'period_2 player_771508259 team_164'","false"
"104","10.0","48.0","559","true","2620721919","'2nd 04:53:00 : made by Zach Edey(Purdue) 49-65'","'period_2 player_771508275 team_559'","false"
"105","70.0","64.0","164","false","2620721921","'2nd 04:37:00 : missed by Alex Karaban(UConn) 49-65'","'period_2 player_771508264 team_164'","false"
"106","15.0","41.0","559","false","2620721923","'2nd 04:21:00 : missed by Zach Edey(Purdue) 49-65'","'period_2 player_771508275 team_559'","false"
"107","7.0","50.0","559","true","2620721943","'2nd 03:29:00 : made by Zach Edey(Purdue) 52-67'","'period_2 player_771508275 team_559'","false"
"108","32.0","25.0","559","false","2620721945","'2nd 02:54:00 : missed by Lance Jones(Purdue) 52-67'","'period_2 player_771508273 team_559'","false"
"109","7.0","47.0","559","true","2620721948","'2nd 02:47:00 : made by Lance Jones(Purdue) 54-67'","'period_2 player_771508273 team_559'","false"
"110","7.0","47.0","559","true","2620721960","'2nd 02:32:00 : made by Zach Edey(Purdue) 56-69'","'period_2 player_771508275 team_559'","false"
"111","85.0","55.0","164","true","2620721963","'2nd 01:56:00 : made by Donovan Clingan(UConn) 56-71'","'period_2 player_771508265 team_164'","false"
"112","10.0","48.0","559","false","2620721965","'2nd 01:45:00 : missed by Braden Smith(Purdue) 56-71'","'period_2 player_771508282 team_559'","false"
"113","6.0","50.0","559","true","2620721967","'2nd 01:42:00 : made by Zach Edey(Purdue) 58-71'","'period_2 player_771508275 team_559'","false"
"114","7.0","48.0","559","true","2620721972","'2nd 01:19:00 : made by Zach Edey(Purdue) 60-73'","'period_2 player_771508275 team_559'","false"
"115","91.0","48.0","164","true","2620721974","'2nd 00:44:00 : made by Donovan Clingan(UConn) 60-75'","'period_2 player_771508265 team_164'","false"
"116","31.0","71.0","559","false","2620721976","'2nd 00:36:00 : missed by Braden Smith(Purdue) 60-75'","'period_2 player_771508282 team_559'","false"
